"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
45	-2.703122850000000e-02	2.378679650000000e-03	1.225348857945086e+00	8.343636432371363e+01	2.827930472315357e-02	2.562907566352323e+05	2.604328914301198e-01	2.505211775810782e+03	1.013799063183721e+05	2.882189160547853e+02	2.817173824992982e-02	2.000716532835524e-01	1.789630119211145e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.273829019850437e-04	
46	-2.897056800000000e-02	2.378679650000000e-03	1.225406189653072e+00	8.343909557993791e+01	2.990523721666749e-02	2.563061137338343e+05	2.621453527887018e-01	2.520413712468923e+03	1.013860270700109e+05	2.882228317106917e+02	3.032966789269926e-02	2.000674840493664e-01	1.789649009581228e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.274530987955956e-04	
47	-3.090990750000000e-02	2.378679650000000e-03	1.225460727367184e+00	8.344241974506973e+01	3.101724553756487e-02	2.563207312839144e+05	2.638837227468945e-01	2.535840799402604e+03	1.013918332543920e+05	2.882265099237206e+02	3.237669383443179e-02	2.000652748847558e-01	1.789666754338925e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.275234387345226e-04	
48	-3.284924700000000e-02	2.378679650000000e-03	1.225511368201104e+00	8.344532297394348e+01	3.172699727655603e-02	2.563343177929730e+05	2.656481565513173e-01	2.551493822211783e+03	1.013972348649215e+05	2.882299542891780e+02	3.428108338791555e-02	2.000627736167346e-01	1.789683370849960e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.275938169894348e-04	
49	-3.478858650000000e-02	2.378679650000000e-03	1.225558519649215e+00	8.344779869231667e+01	3.222343519258006e-02	2.563469519636568e+05	2.674392715519825e-01	2.567377993832987e+03	1.014022639374332e+05	2.882331600932607e+02	3.605413109334471e-02	2.000598997850270e-01	1.789698836393357e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.276642857158370e-04	
50	-3.672792600000000e-02	2.378679650000000e-03	1.225601557646305e+00	8.344968316204361e+01	3.257111934228474e-02	2.563584651832626e+05	2.692573307019764e-01	2.583495108807223e+03	1.014068569069210e+05	2.882360934826646e+02	3.767342649873808e-02	2.000563745608185e-01	1.789712987672620e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.277347895094589e-04	
51	-3.866726550000000e-02	2.378679650000000e-03	1.225640139070475e+00	8.345100116270338e+01	3.283504175342320e-02	2.563687632812444e+05	2.711025792883279e-01	2.599846780349297e+03	1.014109751111158e+05	2.882387253198637e+02	3.912533885056866e-02	2.000523235771277e-01	1.789725684142534e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.278053020274741e-04	
52	-4.060660500000000e-02	2.378679650000000e-03	1.225673961990609e+00	8.345180201156585e+01	3.306362198744349e-02	2.563777693202523e+05	2.729751532974936e-01	2.616433563816161e+03	1.014145861511438e+05	2.882410345827763e+02	4.039844561548239e-02	2.000479216989589e-01	1.789736824408459e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.278758009760800e-04	
53	-4.254594450000000e-02	2.378679650000000e-03	1.225702973071823e+00	8.345219019200668e+01	3.329926540068003e-02	2.563854744209037e+05	2.748751545935929e-01	2.633255680428894e+03	1.014176835795278e+05	2.882430155429072e+02	4.149047367361645e-02	2.000434301077467e-01	1.789746380853314e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.279462897278401e-04	
54	-4.448528400000000e-02	2.378679650000000e-03	1.225727348910536e+00	8.345229193198240e+01	3.357380233102650e-02	2.563919327882427e+05	2.768026687763717e-01	2.650313190039134e+03	1.014202858038372e+05	2.882446790339102e+02	4.240791278986154e-02	2.000391187906524e-01	1.789754405755720e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.280167953933037e-04	
55	-4.642462350000000e-02	2.378679650000000e-03	1.225747502751974e+00	8.345224465802652e+01	3.390739139497626e-02	2.563972621200575e+05	2.787578048494805e-01	2.667606371909094e+03	1.014224365434604e+05	2.882460521671117e+02	4.316617665365464e-02	2.000352402772172e-01	1.789761029916599e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.280873695504024e-04	
56	-4.836396300000000e-02	2.378679650000000e-03	1.225764043122595e+00	8.345217800106647e+01	3.430822178521734e-02	2.564016316332799e+05	2.807407242947296e-01	2.685136001745203e+03	1.014242005190335e+05	2.882471758074872e+02	4.378808314534632e-02	2.000319917523912e-01	1.789766450482579e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.281580840091167e-04	
57	-5.030330250000000e-02	2.378679650000000e-03	1.225777704193578e+00	8.345220214937983e+01	3.477375294209253e-02	2.564052431239180e+05	2.827516649331185e-01	2.702903578111018e+03	1.014256561289238e+05	2.882481001362402e+02	4.430127236065875e-02	2.000295000565559e-01	1.789770909539538e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.282290235997828e-04	
58	-5.224264200000000e-02	2.378679650000000e-03	1.225789323185115e+00	8.345238379951417e+01	3.529658332924565e-02	2.564083224989244e+05	2.847909604327626e-01	2.720911505328921e+03	1.014268926957720e+05	2.882488821405253e+02	4.473723585248250e-02	2.000277686126695e-01	1.789774682003259e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.283002839163689e-04	
59	-5.418198150000000e-02	2.378679650000000e-03	1.225799512630338e+00	8.345277911623718e+01	3.583183880043370e-02	2.564110430695582e+05	2.868590349196720e-01	2.739163037916425e+03	1.014279785828044e+05	2.882495720721456e+02	4.512007573135362e-02	2.000268145762060e-01	1.789778010295522e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.283719370981641e-04	
60	-5.612132100000000e-02	2.378679650000000e-03	1.225809483961394e+00	8.345316194422703e+01	3.628470988646159e-02	2.564137100336385e+05	2.889565512529456e-01	2.757663690003991e+03	1.014290431515482e+05	2.882502526978030e+02	4.549539964328200e-02	2.000258693630875e-01	1.789781293691230e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.284441182111578e-04	
